interval_range,taylor_n,num_solutions,num_real_solutions,pred_parameters,sampled_parameters,sampled_u0
0.05,2,8,0,"Number[0.21208410717495466 - 1.8491130519761014im, 0.0014542996238061105 - 0.012528487211099492im, 0.004508849908476152 + 0.009142993829564433im, 0.014071610343302949 - 9.087400014313465e-50im, 0.00655923651570582 - 2.1382117680737565e-50im, 0.2111168057641337 + 0.0im]","[6.862579325840059, 0.011980583508313901, 0.011094995861365852, 0.004910981877750456, 0.21111680576413375, 0.007484900772118022]","[251.02137618653634, 4.885394705230835, 103.8181412342061]"
0.05,2,8,0,"Number[2.314175243984037 + 0.4791120617097349im, 0.002235533821344719 + 0.001704113210307728im, 0.0038829024120729367 + 0.0031161228089992437im, 0.004789413341459828 + 1.793662034335766e-43im, 0.007725514712025468 - 3.923635700109488e-44im, 0.21212491310899192 + 0.0im]","[6.478081547711241, 0.012660192070732726, 0.011126196054291044, 0.004542615967400886, 0.21212491310899195, 0.007764858494557278]","[250.1270885340744, 4.946414622293638, 102.72701627431773]"
0.05,2,8,0,"Number[2.435092775263102 + 0.508715613371207im, 0.002361407279855626 + 0.001822983734554608im, 0.003804185670212417 + 0.003030464414496698im, 0.005027152500929373 - 5.510129769479473e-40im, 0.007562903795593591 + 9.183549615799121e-40im, 0.21506548486693092 + 0.0im]","[6.327620591081414, 0.01201895908227128, 0.011080098137033052, 0.004775951162474974, 0.21506548486693083, 0.007609577048385091]","[255.66595822419293, 5.040226355641202, 95.93879521191931]"
0.05,2,8,0,"Number[2.3034935579607994 + 0.5147569796729382im, 0.0023877617313091404 + 0.0018458720519626518im, 0.0037077156250762467 + 0.002947699830963255im, 0.014251577285173466 - 3.76158192263132e-37im, 0.006629397231976904 - 3.5264830524668625e-37im, 0.2069640562871082 + 0.0im]","[6.683148601045286, 0.012049740197845363, 0.011513734961959928, 0.004758620594846259, 0.2069640562871082, 0.007731780270606615]","[258.2537696042576, 5.163428693061597, 103.70421424830609]"
0.05,2,8,0,"Number[0.7532230935139529 - 2.0555338198191992im, 0.0017662740875626995 - 0.010872978354646776im, 0.004174102207581073 + 0.007896220400412293im, 0.004698592087200576 + 0.0im, 0.007336430655288851 + 0.0im, 0.20670079770284705 + 0.0im]","[6.861232894467962, 0.01189707743907665, 0.011375338345090693, 0.004481397553145139, 0.20670079770284705, 0.0073769673538837234]","[261.77952382206735, 5.0929415683835115, 99.78115761665691]"
0.05,2,8,0,"Number[2.338875853329449 - 0.493973516748201im, 0.0023060043132164063 - 0.0017720584569099846im, 0.003923774183513311 - 0.003144034210636715im, 0.014886117320264187 + 1.401298464324817e-45im, 0.006618026379332229 - 3.2405026987511395e-45im, 0.20950667959937253 + 0.0im]","[6.2826984786974105, 0.012525462941678838, 0.011004460839544893, 0.004861109391608838, 0.20950667959937258, 0.007862947694143672]","[246.12160634519608, 5.181299117394941, 99.68580089576565]"
0.05,2,8,0,"Number[2.2693002086101752 - 0.5126306656419033im, 0.002494051044239602 - 0.001937498914394446im, 0.003655961783415705 - 0.002906551984645791im, 0.015100059641257007 + 0.0im, 0.0062408255522941915 + 0.0im, 0.20163223631241745 + 0.0im]","[6.331219292202746, 0.011967454963962006, 0.011523434649148363, 0.004486084546570197, 0.2016322363124175, 0.00752263423454783]","[260.81238070578445, 5.044258885922902, 100.90049632504652]"
0.05,2,8,0,"Number[0.7272179934071673 - 2.037442060374586im, 0.001677042070158217 - 0.011346421761595673im, 0.004389824140909049 + 0.008261582877464115im, 0.015560413486530696 + 0.0im, 0.005892305543776631 + 4.5542200090556555e-45im, 0.2027555121453341 + 0.0im]","[6.854429696066353, 0.011737072963471047, 0.011485446925478367, 0.00464226138692142, 0.2027555121453341, 0.007346178994890892]","[252.54064449605445, 5.147877996068429, 97.53669566539905]"
0.05,2,8,0,"Number[2.2625858658057263 - 0.5332939120914574im, 0.002498892527368161 - 0.0019440614734859006im, 0.0036193616089049223 - 0.0028612740605162084im, 0.005201830629536858 + 1.4349296274686127e-42im, 0.007343215394780732 + 1.6142958309021893e-42im, 0.19903115412168887 + 0.0im]","[6.498161028490131, 0.011669971493158985, 0.011441746377112498, 0.004858990208738929, 0.1990311541216888, 0.00739224129308791]","[260.9980334687052, 4.919058927688617, 104.64858843965722]"
0.05,2,8,0,"Number[2.2383646454055177 - 0.5205638363449473im, 0.002442709661377546 - 0.0019035086314485186im, 0.003847045493535187 - 0.0030629720281057796im, 0.005281999796430308 + 0.0im, 0.007796301303132781 + 0.0im, 0.20673137960837779 - 1.349401336733507e-79im]","[6.491272169650998, 0.01223826564668581, 0.011511586439248166, 0.004929074723117478, 0.2067313796083777, 0.007848945662289615]","[244.97380110883677, 5.026428699858206, 103.50756892231942]"
0.05,2,8,0,"Number[2.3159460802448444 + 0.5082883616869837im, 0.0024001209398741893 + 0.0018724296799449544im, 0.003872839896147244 + 0.0030928944762058513im, 0.015200915104251301 + 1.4693679385278594e-38im, 0.006667803167874881 + 1.5795705339174488e-38im, 0.21408140094112735 + 0.0im]","[6.788423461078273, 0.012418219878665772, 0.012017891491825599, 0.004716128274589959, 0.21408140094112738, 0.007789899494968261]","[247.22442337747373, 4.7993088719052714, 99.19602900012251]"
0.05,2,8,0,"Number[2.290689880649053 - 0.5101123871764132im, 0.0025477861788305274 - 0.001987865228827016im, 0.0036820528810944265 - 0.002946423800244275im, 0.015568607568376969 + 0.0im, 0.006582638319916738 + 0.0im, 0.20841811418182277 + 0.0im]","[6.450804791065159, 0.012431984842954266, 0.011985455226707718, 0.004578013067885346, 0.2084181141818228, 0.007833887502301112]","[259.0325376010425, 4.856365129309827, 98.10890471804171]"
0.05,2,8,0,"Number[0.6212370893711027 - 1.9430044562801614im, 0.0018721863875710112 - 0.011584220533213622im, 0.004481679208893094 + 0.008715590464049029im, 0.01562677383545447 - 5.131708243377016e-49im, 0.006195146900228857 - 2.1382117680737565e-49im, 0.20743313310304523 + 0.0im]","[6.385351794334424, 0.012381074778955678, 0.011627274460773596, 0.004728032216035147, 0.20743313310304523, 0.007672126964403785]","[241.29845771708912, 5.199692442836577, 96.72283566946672]"
0.05,2,8,0,"Number[2.240503143393884 - 0.5185136463550911im, 0.002397018154714851 - 0.0018746692811901853im, 0.003867069014792764 - 0.003060174166963494im, 0.014733671849457057 + 0.0im, 0.006796810748454029 + 5.345529420184391e-51im, 0.21391021061372878 + 0.0im]","[6.622170545907809, 0.0119249183032735, 0.011652749378279299, 0.004494839693720657, 0.2139102106137287, 0.007822971908805003]","[244.82234173932153, 4.761285437721184, 103.03820544027279]"
0.05,3,23,1,"Number[2.8008154242441705, 0.003275531850622262, 0.005452856535721967, 0.004485895104794875, 0.007905738667857933, 0.21119459358688097]","[6.624057028530165, 0.01157483640981956, 0.011002434672791718, 0.004506891342145234, 0.211194593586881, 0.007900345592559746]","[257.99901935093607, 5.080630060951714, 100.2315449707811]"
0.05,3,19,1,"Number[2.751521732394637, 0.0030093477504610166, 0.005861564760187464, 0.004559351888107541, 0.0075808259668099, 0.1997902920466508]","[6.894986221336294, 0.011637541519955908, 0.01104210529343857, 0.004583135779211765, 0.19979029204665083, 0.007574508105846132]","[238.33819914528937, 5.230583590966346, 101.68776557041576]"
0.05,3,20,1,"Number[2.8616481504767357, 0.0030092587234334008, 0.005798463409359362, 0.004559308741754537, 0.007344875999441052, 0.1996753786126663]","[6.8025779719444195, 0.01225879405252871, 0.011179848392106683, 0.0045784317295080755, 0.19967537861266624, 0.007339793332444228]","[248.7385865956149, 4.89686926883031, 95.18510265962941]"
0.05,3,14,1,"Number[2.7771479329829303, 0.0031469027924797715, 0.005517856660587847, 0.004524929776152839, 0.007899720597135342, 0.2012909712585643]","[6.8970471003032365, 0.011596018418091051, 0.011127853581343971, 0.004548602840207204, 0.20129097125856432, 0.007894223419881264]","[255.32658066628954, 5.0014500812129, 102.83074647836565]"
0.05,3,20,1,"Number[2.788847810036653, 0.0031147487634783774, 0.005736116018741568, 0.004821520685125286, 0.007922447802004653, 0.21029446618149897]","[6.709941047505356, 0.012076601795508382, 0.010978136981682972, 0.004850662456948818, 0.21029446618149888, 0.00791557175674546]","[246.57761905656773, 5.045502435239429, 100.2272570451895]"
0.05,3,10,1,"Number[2.6815554505670436, 0.003591837803181941, 0.005544696909481138, 0.004514107666301816, 0.007949315757373976, 0.19736250869742486]","[6.440972629305337, 0.012383518336974002, 0.011796029676858414, 0.004533553806489009, 0.19736250869742492, 0.007943976634515421]","[250.98110442840985, 5.086732536607108, 96.98380325318409]"
0.05,3,15,1,"Number[2.608747301652412, 0.00355468010011778, 0.005560762077117641, 0.00450515782634424, 0.007892960283851943, 0.1966420327038657]","[6.837421116265222, 0.011563505217565967, 0.011865857453407944, 0.004529717601539524, 0.1966420327038657, 0.007887222106376456]","[241.58694903749625, 5.086563422281974, 104.59701166343156]"
0.05,3,25,1,"Number[2.6255856133838957, 0.0038586303944029877, 0.005425787555494145, 0.00480625287169782, 0.0077398707328713845, 0.2083378128415462]","[6.581479975926602, 0.011680423717233322, 0.012063242654560942, 0.004836084237613581, 0.20833781284154618, 0.007732683432213411]","[245.80184606139642, 5.123690156993734, 101.33672957541617]"
0.05,3,10,1,"Number[2.599596884123563, 0.0035654347107373914, 0.0056772177820397845, 0.004664064779946345, 0.007599702568264912, 0.1976640147909519]","[6.4798022347056605, 0.0121616507766677, 0.011612064574429398, 0.0046909392755514, 0.19766401479095191, 0.00759291323570191]","[239.08545009507097, 5.198097572060045, 102.30215018769309]"
0.05,3,8,1,"Number[2.673040923072309, 0.0035937362365700844, 0.005621139743374113, 0.004482748502509086, 0.007774689176401432, 0.1957575881509122]","[6.5095016873960425, 0.011494121166611873, 0.011658384640412509, 0.004502682389416719, 0.19575758815091218, 0.007769026138709695]","[240.7126361162724, 5.214261433464614, 98.60641985486521]"
0.05,3,8,1,"Number[2.5657889134574074, 0.003777685774227952, 0.005328074293529443, 0.004492444735590593, 0.008001224720005327, 0.210319482470973]","[6.384259305615808, 0.012134382484607747, 0.011759742034271072, 0.004516499025258097, 0.21031948247097298, 0.007996217563500519]","[253.78023270781873, 4.842545042975605, 104.51779797639526]"
0.05,3,14,1,"Number[2.778721376771442, 0.0035073201313342304, 0.005418901309067538, 0.004735457794497798, 0.007733245505522241, 0.20133374843453525]","[6.510916541358574, 0.012051783146888463, 0.01144750663527328, 0.004759823194485343, 0.20133374843453528, 0.007727734602326871]","[259.03811684171797, 4.7670595138891985, 97.42421102981187]"
