sim_num,interval_range,taylor_n,L_num_real_solutions,L_pred_parameters,L_all_real_solutions,A_num_real_solutions,A_pred_parameters,A_all_real_solutions,sampled_parameters,offmul
1,0.2,1,1,"[7.2714557840369745, 0.011354600363849459, 0.010970389546581862]","[[7.2714557840369745, 0.011354600363849459, 0.010970389546581862]]",1,"[0.0038986944816275628, 0.007866373531481657]","[[0.0038986944816275628, 0.007866373531481657]]","[7.277556725489195, 0.010983349561025299, 0.011362646639605073, 0.004853881440132437, 0.1769948415564735, 0.007719332203537433]","[0.9297541109916148, 0.995758842773037, 0.9389553930393634, 0.9931320237580945, 1.0555671934285016, 1.0262734698752325]"
1,0.2,2,4,"[7.2773600779780905, 0.011362419836037276, 0.010983030556118267]","[[7.2773600779780905, 0.011362419836037276, 0.010983030556118267], [0.4550317751008542, 0.08321233612709293, -0.03662592080853095], [10.341854726840959, 0.013979153899319407, 0.017139029054795862], [13.352130257717315, 0.018082513854470256, 0.010917012622749593]]",2,"[0.0047564548853281634, 0.008702292817834419]","[[0.03357420026581951, 0.13477224011601494], [0.0047564548853281634, 0.008702292817834419]]","[7.277556725489195, 0.010983349561025299, 0.011362646639605073, 0.004853881440132437, 0.1769948415564735, 0.007719332203537433]","[0.9297541109916148, 0.995758842773037, 0.9389553930393634, 0.9931320237580945, 1.0555671934285016, 1.0262734698752325]"
1,0.2,3,1,"[7.277552271180916, 0.01136264153160348, 0.010983343305702022]","[[7.277552271180916, 0.01136264153160348, 0.010983343305702022]]",1,"[0.004845884534002184, 0.007658691624203352]","[[0.004845884534002184, 0.007658691624203352]]","[7.277556725489195, 0.010983349561025299, 0.011362646639605073, 0.004853881440132437, 0.1769948415564735, 0.007719332203537433]","[0.9297541109916148, 0.995758842773037, 0.9389553930393634, 0.9931320237580945, 1.0555671934285016, 1.0262734698752325]"
1,0.2,4,4,"[7.277556647155327, 0.011362646548588115, 0.010983349463151323]","[[19.60128583351427, 0.021214739822696334, 0.011054547889494035], [12.140063938274247, 0.015074117843859298, 0.019810572031712447], [7.277556647155327, 0.011362646548588115, 0.010983349463151323], [0.07835217306027661, 0.09527670148542804, -0.04526390907408461]]",2,"[0.004853114908399295, 0.007729756699505777]","[[0.03989586954472235, 0.2126172017426536], [0.004853114908399295, 0.007729756699505777]]","[7.277556725489195, 0.010983349561025299, 0.011362646639605073, 0.004853881440132437, 0.1769948415564735, 0.007719332203537433]","[0.9297541109916148, 0.995758842773037, 0.9389553930393634, 0.9931320237580945, 1.0555671934285016, 1.0262734698752325]"
1,0.2,5,1,"[7.277556724359505, 0.011362646638274234, 0.010983349559749249]","[[7.277556724359505, 0.011362646638274234, 0.010983349559749249]]",1,"[0.004853839091858965, 0.007718832604860578]","[[0.004853839091858965, 0.007718832604860578]]","[7.277556725489195, 0.010983349561025299, 0.011362646639605073, 0.004853881440132437, 0.1769948415564735, 0.007719332203537433]","[0.9297541109916148, 0.995758842773037, 0.9389553930393634, 0.9931320237580945, 1.0555671934285016, 1.0262734698752325]"
1,0.2,6,4,"[7.277556725478286, 0.011362646639592357, 0.010983349561010483]","[[27.243471809255734, 0.024287341618006813, 0.011104536624999514], [7.277556725478286, 0.011362646639592357, 0.010983349561010483], [0.023223007368814396, 0.1047283221715971, -0.051862554515393254], [14.03923401164745, 0.016120047327075865, 0.02234335307534068]]",2,"[0.004853878325299452, 0.007719383816992063]","[[0.047030243540217044, 0.27370991280293067], [0.004853878325299452, 0.007719383816992063]]","[7.277556725489195, 0.010983349561025299, 0.011362646639605073, 0.004853881440132437, 0.1769948415564735, 0.007719332203537433]","[0.9297541109916148, 0.995758842773037, 0.9389553930393634, 0.9931320237580945, 1.0555671934285016, 1.0262734698752325]"
1,0.2,7,1,"[7.277556725487724, 0.011362646639603086, 0.010983349561024012]","[[7.277556725487724, 0.011362646639603086, 0.010983349561024012]]",1,"[0.004853881318531837, 0.00771933012851688]","[[0.004853881318531837, 0.00771933012851688]]","[7.277556725489195, 0.010983349561025299, 0.011362646639605073, 0.004853881440132437, 0.1769948415564735, 0.007719332203537433]","[0.9297541109916148, 0.995758842773037, 0.9389553930393634, 0.9931320237580945, 1.0555671934285016, 1.0262734698752325]"
1,0.2,8,4,"[7.277556725489474, 0.01136264663960542, 0.010983349561024324]","[[37.13895875825184, 0.027279941051423073, 0.011138270153767192], [0.008688629233190541, 0.11438094263725859, -0.058521794166247074], [16.178602650069827, 0.017143630783485547, 0.024817221438976564], [7.277556725489474, 0.01136264663960542, 0.010983349561024324]]",2,"[0.004853881432650101, 0.007719332353277694]","[[0.004853881432650101, 0.007719332353277694], [0.05430066864483475, 0.31900547918331074]]","[7.277556725489195, 0.010983349561025299, 0.011362646639605073, 0.004853881440132437, 0.1769948415564735, 0.007719332203537433]","[0.9297541109916148, 0.995758842773037, 0.9389553930393634, 0.9931320237580945, 1.0555671934285016, 1.0262734698752325]"
1,0.2,9,1,"[7.277556725495739, 0.01136264663961412, 0.010983349561023358]","[[7.277556725495739, 0.01136264663961412, 0.010983349561023358]]",1,"[0.004853881439916549, 0.007719332198306737]","[[0.004853881439916549, 0.007719332198306737]]","[7.277556725489195, 0.010983349561025299, 0.011362646639605073, 0.004853881440132437, 0.1769948415564735, 0.007719332203537433]","[0.9297541109916148, 0.995758842773037, 0.9389553930393634, 0.9931320237580945, 1.0555671934285016, 1.0262734698752325]"
1,0.2,10,4,"[7.277556725465947, 0.011362646639574415, 0.010983349561023367]","[[7.277556725465947, 0.011362646639574415, 0.010983349561023367], [50.221629054659644, 0.030218598539224407, 0.011168062152126361], [18.61345543957442, 0.01815569329540667, 0.02726135738690233], [0.0035843899628225095, 0.1245957355199647, -0.06553232330647246]]",2,"[0.004853881440120551, 0.0077193322038230875]","[[0.061598007050813156, 0.3509561794999202], [0.004853881440120551, 0.0077193322038230875]]","[7.277556725489195, 0.010983349561025299, 0.011362646639605073, 0.004853881440132437, 0.1769948415564735, 0.007719332203537433]","[0.9297541109916148, 0.995758842773037, 0.9389553930393634, 0.9931320237580945, 1.0555671934285016, 1.0262734698752325]"
