interval_range,taylor_n,num_solutions,num_real_solutions,pred_parameters,sampled_parameters,sampled_u0
0.2,7,314,1,"Number[3.207877481678169, 0.005518880688183031, 0.007469637409566098, 0.003865945583059532, 0.006264985563413079, 0.1957777733082293]","[5.768563732685159, 0.013475056658744093, 0.011667767686809903, 0.003865945679554434, 0.19577777330822937, 0.006264985495004473]","[296.6580454144342, 4.808581133627742, 89.33057941298497]"
0.2,7,235,1,"Number[3.35880226008263, 0.0052723326483407875, 0.00755430448291314, 0.004755977590184504, 0.007693485839434866, 0.24310179048837607]","[6.172926530055743, 0.013640325402036982, 0.010939490719260325, 0.004755978837190859, 0.24310179048837607, 0.007693484924264909]","[288.50625283552984, 5.970520362710422, 100.11281038379151]"
0.2,7,302,1,"Number[2.862911563982463, 0.007653311228295641, 0.007988407876665533, 0.005073187263382152, 0.007367602044732188, 0.1743094848217162]","[5.283958538572472, 0.012079153019006453, 0.013097117921455743, 0.005073189891074716, 0.17430948482171618, 0.007367601356386094]","[228.41732893541663, 4.033305018185274, 104.27688718437999]"
0.2,7,109,1,"Number[3.000381740900908, 0.005225087833173894, 0.00962337630045203, 0.003848409647317589, 0.006160298172682843, 0.21530769385956355]","[6.689477423887016, 0.013595399227408642, 0.012826005690914377, 0.0038484098219715166, 0.2153076938595636, 0.006160298057293239]","[217.8931490345637, 4.979823815210904, 97.62410720092467]"
0.2,7,45,1,"Number[2.9036562744676337, 0.0035817279848537236, 0.010376093561737269, 0.004123736885316384, 0.006692820328698864, 0.21686330980133828]","[5.81513579227429, 0.013587126225935848, 0.009832712716697205, 0.004123737310110156, 0.21686330980133828, 0.006692820164140669]","[211.65481152557533, 4.2180276421794405, 102.72772631661292]"
0.2,7,59,1,"Number[2.9081949743157125, 0.006231517447588174, 0.007617207413847491, 0.0037896139736656163, 0.007946977630454915, 0.1679821720964101]","[6.2395053879754085, 0.011317921967567103, 0.013108342177164268, 0.003789614206116258, 0.16798217209641006, 0.007946977494736648]","[260.01034011088257, 5.08059351353859, 103.68586827412288]"
0.2,7,98,1,"Number[3.2614046970456116, 0.007025080499732625, 0.007586202369256319, 0.005397580119394292, 0.007565009916111152, 0.21764111869224576]","[5.97515206038254, 0.010428330848780351, 0.011939687652366452, 0.0053975880601387916, 0.21764111869224576, 0.007565005960018309]","[233.65634509614185, 5.9601166885487915, 111.89929405955841]"
0.2,7,121,1,"Number[3.1886994473379415, 0.005784263678422952, 0.00806527643156508, 0.003873969703286914, 0.006942450105283504, 0.20393985476358292]","[7.728310376149908, 0.010740726774584156, 0.013406188019857629, 0.0038739700837398133, 0.2039398547635829, 0.0069424499243208775]","[238.34748489416455, 4.776417807760438, 108.45053833135732]"
0.2,7,59,1,"Number[3.554947752773167, 0.004594471013808657, 0.008442283309003151, 0.005144568535871287, 0.007945946293868363, 0.187468566158565]","[7.117088001280499, 0.013869637359241755, 0.012273591219431928, 0.005144569220030617, 0.18746856615856497, 0.007945945884940346]","[272.4249081553626, 4.793450905329561, 84.51994796493733]"
0.2,7,197,1,"Number[3.37794333366452, 0.0026348717302474294, 0.008831053470209061, 0.004428961266059653, 0.007944498186722106, 0.1969877165851704]","[7.101504164915156, 0.012940626877597368, 0.009969318315306314, 0.004428961702011873, 0.19698771658517047, 0.007944497898401487]","[271.9391448421904, 5.234723888259551, 94.26705662412881]"
0.2,7,250,1,"Number[3.7158731612449962, 0.003643367650585168, 0.009537286887452439, 0.003761176594425963, 0.007447423060642786, 0.2240413774553673]","[6.553513993461425, 0.011854909420446829, 0.010053824545180215, 0.0037611766306925817, 0.2240413774553674, 0.0074474230385691035]","[233.27009345750125, 4.136031206733674, 80.71012790985958]"
0.25,1,1,1,"Number[1.602847037513877, 0.0028570663560119414, 0.00267458026191919, 0.0033381833534741508, 0.006228155468183813, 0.23591755424619268]","[5.155986346283224, 0.013918975223586157, 0.013875412609962001, 0.0041416146223813895, 0.23591755424619265, 0.00617460918429058]","[252.2737629852324, 4.105288945519725, 106.14132936286603]"
0.25,1,1,1,"Number[1.9547596145386759, 0.0024650209502034663, 0.00308907630829652, 0.003963824070057996, 0.007820332929672135, 0.16795480276380226]","[6.824318686579488, 0.009989616518657339, 0.012737847651826572, 0.005250639656775877, 0.1679548027638023, 0.0077706802306214805]","[196.43819410602208, 3.912477309856539, 111.2728801162979]"
0.25,1,1,1,"Number[2.118306010286641, 0.0013978701872635392, 0.003022772824897405, 0.002930943790693496, 0.008887291837928963, 0.24177982141077495]","[6.023171524459705, 0.013482547999365428, 0.009585284598993422, 0.003628694636404661, 0.24177982141077492, 0.008851420948589553]","[266.99958993459927, 4.246082865597442, 120.49715767248478]"
0.25,1,1,1,"Number[1.6413184917155184, 0.0030965246405292458, 0.003177556790061314, 0.0040639989413452935, 0.007618128882632055, 0.17428739383905775]","[4.987779722277857, 0.011512078640181717, 0.013732398475935766, 0.00524126680903774, 0.1742873938390578, 0.007528005624579941]","[190.50492816485183, 4.5722624429241625, 99.54629043047333]"
0.25,1,1,1,"Number[1.820592766075334, 0.002594702017455415, 0.0026474314852884787, 0.003943899605483237, 0.008418649731251554, 0.18340775039362506]","[6.494394913437741, 0.015093116423336179, 0.01378837417387422, 0.005266523362439815, 0.18340775039362506, 0.008341557106948573]","[260.5456921038433, 4.792511541623501, 113.96311636262558]"
0.25,1,1,1,"Number[2.4428218680932736, 9.117431018780374e-5, 0.004020796944538936, 0.003997002869525094, 0.006746481536986106, 0.16406708225080327]","[7.717935316136092, 0.014079647228519152, 0.01022546974669688, 0.005164210088075732, 0.16406708225080327, 0.006569488452923631]","[236.3662488919425, 6.111416209053807, 100.79017788939964]"
