sim_num,interval_range,taylor_n,L_num_real_solutions,L_pred_parameters,L_all_real_solutions,A_num_real_solutions,A_pred_parameters,A_all_real_solutions,sampled_parameters,offmul
33,0.1,8,4,"[6.752977101692512, 0.011109756431046688, 0.011173760742452198]","[[39.81421192223863, 0.02845799929439417, 0.011333755500766192], [6.752977101692512, 0.011109756431046688, 0.011173760742452198], [0.0682524100235259, 0.09107112168037171, -0.03943896793905032], [17.181450884974033, 0.018402314112029056, 0.025007306078569862]]",2,"[0.004994381020927366, 0.007949698876547756]","[[0.05558276241360486, 0.3931688923982266], [0.004994381020927366, 0.007949698876547756]]","[6.752977101734071, 0.011173760742466413, 0.011109756431105256, 0.00499438104001412, 0.21968543916299882, 0.007949698662232132]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
33,0.1,9,1,"[6.752977101738305, 0.011109756431111723, 0.011173760742463814]","[[6.752977101738305, 0.011109756431111723, 0.011173760742463814]]",1,"[0.004994381039263544, 0.00794969865705753]","[[0.004994381039263544, 0.00794969865705753]]","[6.752977101734071, 0.011173760742466413, 0.011109756431105256, 0.00499438104001412, 0.21968543916299882, 0.007949698662232132]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
33,0.1,10,4,"[6.752977101729973, 0.011109756431099049, 0.01117376074246922]","[[20.008276890268842, 0.01957858917754189, 0.027362529028038533], [6.752977101729973, 0.011109756431099049, 0.01117376074246922], [0.031836827597052135, 0.10211269820530178, -0.046771675355554286], [54.33095862924685, 0.03148216881273739, 0.011365756082973744]]",2,"[0.004994381039977111, 0.007949698662666984]","[[0.06289940222767947, 0.4415673230053384], [0.004994381039977111, 0.007949698662666984]]","[6.752977101734071, 0.011173760742466413, 0.011109756431105256, 0.00499438104001412, 0.21968543916299882, 0.007949698662232132]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
34,0.1,1,1,"[6.675763686475469, 0.01164530965242566, 0.010875491925665219]","[[6.675763686475469, 0.01164530965242566, 0.010875491925665219]]",1,"[0.0036613121120116473, 0.00973019194533184]","[[0.0036613121120116473, 0.00973019194533184]]","[6.663450161147787, 0.01098398789577327, 0.011614295814552983, 0.004915952533905192, 0.22538004612104023, 0.008183553841484024]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
34,0.1,2,4,"[6.665135850173384, 0.011617615678171466, 0.010977462204377694]","[[6.665135850173384, 0.011617615678171466, 0.010977462204377694], [0.7310167219035363, 0.06727164717522927, -0.025045204709797837], [9.972863641770587, 0.014797646830729747, 0.017861002129017717], [12.912343464214139, 0.019418255489809123, 0.010602130792043902]]",2,,"[[0.034922279385723905, 0.1504232070730556], [0.004781400706444958, 0.009275889613071618]]","[6.663450161147787, 0.01098398789577327, 0.011614295814552983, 0.004915952533905192, 0.22538004612104023, 0.008183553841484024]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
34,0.1,3,1,"[6.663590938865476, 0.01161454827257878, 0.010983637682597525]","[[6.663590938865476, 0.01161454827257878, 0.010983637682597525]]",1,"[0.004903200273478053, 0.00813549384201295]","[[0.004903200273478053, 0.00813549384201295]]","[6.663450161147787, 0.01098398789577327, 0.011614295814552983, 0.004915952533905192, 0.22538004612104023, 0.008183553841484024]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
34,0.1,4,4,"[6.663458076162508, 0.01161430943900666, 0.010983972572482287]","[[6.663458076162508, 0.01161430943900666, 0.010983972572482287], [12.164369881430103, 0.016313050199922366, 0.020126745303413806], [0.10021931619928841, 0.08853668944466592, -0.04052461058268434], [19.336262696829106, 0.022321918360829057, 0.010992845264824396]]",2,"[0.004914658477392725, 0.008195838121792684]","[[0.0410927228062956, 0.2456282996910676], [0.004914658477392725, 0.008195838121792684]]","[6.663450161147787, 0.01098398789577327, 0.011614295814552983, 0.004915952533905192, 0.22538004612104023, 0.008183553841484024]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
34,0.1,5,1,"[6.663450499983882, 0.011614296385331973, 0.010983987335099959]","[[6.663450499983882, 0.011614296385331973, 0.010983987335099959]]",1,"[0.004915865149471736, 0.008183165748917826]","[[0.004915865149471736, 0.008183165748917826]]","[6.663450161147787, 0.01098398789577327, 0.011614295814552983, 0.004915952533905192, 0.22538004612104023, 0.008183553841484024]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
34,0.1,6,4,"[6.663450172966016, 0.011614295834206588, 0.010983987878159025]","[[0.02224478429825716, 0.1033740836057055, -0.051207044098272696], [6.663450172966016, 0.011614295834206588, 0.010983987878159025], [14.514416346363143, 0.01773217030614776, 0.022417202718773944], [27.209233115638543, 0.025429555655865358, 0.011093098994226036]]",2,"[0.004915946035032284, 0.008183617759724511]","[[0.04821430809406038, 0.32508499997103596], [0.004915946035032284, 0.008183617759724511]]","[6.663450161147787, 0.01098398789577327, 0.011614295814552983, 0.004915952533905192, 0.22538004612104023, 0.008183553841484024]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
34,0.1,7,1,"[6.6634501615012205, 0.011614295815135327, 0.0109839878952883]","[[6.6634501615012205, 0.011614295815135327, 0.0109839878952883]]",1,"[0.0049159522047641305, 0.008183552262880025]","[[0.0049159522047641305, 0.008183552262880025]]","[6.663450161147787, 0.01098398789577327, 0.011614295814552983, 0.004915952533905192, 0.22538004612104023, 0.008183553841484024]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
