param_set,taylor_degree,true_parameters,pred_parameters
36,3,"[7.620988464129807, 0.011620881067121575, 0.014414260214755475, 0.005535052178340915, 0.19913854772931475, 0.0083039737407199]","[2.5362836551084413, 0.002904890599537023, 0.004980616635739676, 0.004668676974432707, 0.007636629333902229, 0.2055]"
36,4,"[7.620988464129807, 0.011620881067121575, 0.014414260214755475, 0.005535052178340915, 0.19913854772931475, 0.0083039737407199]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
36,5,"[7.620988464129807, 0.011620881067121575, 0.014414260214755475, 0.005535052178340915, 0.19913854772931475, 0.0083039737407199]","[2.8818906010301464, 0.003983890490143533, 0.006767306234727977, 0.004699744735363736, 0.007629096839143214, 0.2055]"
36,6,"[7.620988464129807, 0.011620881067121575, 0.014414260214755475, 0.005535052178340915, 0.19913854772931475, 0.0083039737407199]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
36,7,"[7.620988464129807, 0.011620881067121575, 0.014414260214755475, 0.005535052178340915, 0.19913854772931475, 0.0083039737407199]","[3.281856154198924, 0.00508885323675414, 0.008435414336642712, 0.00469999892786997, 0.007629000544887017, 0.2055]"
37,1,"[6.210166427341434, 0.009489599799706396, 0.012676814054142909, 0.005460559648997325, 0.20143917761770241, 0.008057176969578944]","[2.2896757395491107, 0.0018267801166781657, 0.003092507956477956, 0.0037303600957816303, 0.007727086106956895, 0.2055]"
37,2,"[6.210166427341434, 0.009489599799706396, 0.012676814054142909, 0.005460559648997325, 0.20143917761770241, 0.008057176969578944]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
37,3,"[6.210166427341434, 0.009489599799706396, 0.012676814054142909, 0.005460559648997325, 0.20143917761770241, 0.008057176969578944]","[2.536283655108441, 0.0029048905995370227, 0.004980616635739677, 0.0046686769744327065, 0.007636629333902235, 0.2055]"
37,4,"[6.210166427341434, 0.009489599799706396, 0.012676814054142909, 0.005460559648997325, 0.20143917761770241, 0.008057176969578944]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
37,5,"[6.210166427341434, 0.009489599799706396, 0.012676814054142909, 0.005460559648997325, 0.20143917761770241, 0.008057176969578944]","[2.8818906010301424, 0.00398389049014352, 0.006767306234727983, 0.004699744735363735, 0.00762909683914322, 0.2055]"
37,6,"[6.210166427341434, 0.009489599799706396, 0.012676814054142909, 0.005460559648997325, 0.20143917761770241, 0.008057176969578944]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
37,7,"[6.210166427341434, 0.009489599799706396, 0.012676814054142909, 0.005460559648997325, 0.20143917761770241, 0.008057176969578944]","[3.281856154198917, 0.005088853236754118, 0.008435414336642721, 0.00469999892786997, 0.007629000544887016, 0.2055]"
38,1,"[8.023596923132018, 0.012772758168326223, 0.01398124196811162, 0.0042540241815910325, 0.20412063103591538, 0.00822747498865822]","[2.289675739549111, 0.001826780116678167, 0.003092507956477955, 0.0037303600957816307, 0.007727086106956893, 0.2055]"
38,2,"[8.023596923132018, 0.012772758168326223, 0.01398124196811162, 0.0042540241815910325, 0.20412063103591538, 0.00822747498865822]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
38,3,"[8.023596923132018, 0.012772758168326223, 0.01398124196811162, 0.0042540241815910325, 0.20412063103591538, 0.00822747498865822]","[2.5362836551084404, 0.002904890599537023, 0.0049806166357396755, 0.0046686769744327065, 0.007636629333902235, 0.2055]"
38,4,"[8.023596923132018, 0.012772758168326223, 0.01398124196811162, 0.0042540241815910325, 0.20412063103591538, 0.00822747498865822]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
38,5,"[8.023596923132018, 0.012772758168326223, 0.01398124196811162, 0.0042540241815910325, 0.20412063103591538, 0.00822747498865822]","[2.8818906010301464, 0.003983890490143535, 0.0067673062347279765, 0.004699744735363736, 0.007629096839143214, 0.2055]"
38,6,"[8.023596923132018, 0.012772758168326223, 0.01398124196811162, 0.0042540241815910325, 0.20412063103591538, 0.00822747498865822]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
38,7,"[8.023596923132018, 0.012772758168326223, 0.01398124196811162, 0.0042540241815910325, 0.20412063103591538, 0.00822747498865822]","[3.281856154198902, 0.005088853236754068, 0.008435414336642756, 0.00469999892786997, 0.007629000544887015, 0.2055]"
39,1,"[6.983959022941572, 0.01350651741262781, 0.013751518019048545, 0.0035846201617328556, 0.17440794025239045, 0.007516183500764334]","[2.2896757395491107, 0.0018267801166781668, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956896, 0.2055]"
39,2,"[6.983959022941572, 0.01350651741262781, 0.013751518019048545, 0.0035846201617328556, 0.17440794025239045, 0.007516183500764334]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
39,3,"[6.983959022941572, 0.01350651741262781, 0.013751518019048545, 0.0035846201617328556, 0.17440794025239045, 0.007516183500764334]","[2.536283655108441, 0.002904890599537022, 0.004980616635739678, 0.004668676974432707, 0.0076366293339022295, 0.2055]"
39,4,"[6.983959022941572, 0.01350651741262781, 0.013751518019048545, 0.0035846201617328556, 0.17440794025239045, 0.007516183500764334]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
39,5,"[6.983959022941572, 0.01350651741262781, 0.013751518019048545, 0.0035846201617328556, 0.17440794025239045, 0.007516183500764334]","[2.8818906010301464, 0.003983890490143534, 0.0067673062347279765, 0.004699744735363736, 0.007629096839143213, 0.2055]"
39,6,"[6.983959022941572, 0.01350651741262781, 0.013751518019048545, 0.0035846201617328556, 0.17440794025239045, 0.007516183500764334]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
39,7,"[6.983959022941572, 0.01350651741262781, 0.013751518019048545, 0.0035846201617328556, 0.17440794025239045, 0.007516183500764334]","[3.2818561541989233, 0.005088853236754133, 0.008435414336642705, 0.00469999892786997, 0.007629000544887018, 0.2055]"
40,1,"[6.457828017138246, 0.01455178508837434, 0.012523620337483094, 0.005520200318991869, 0.15459858400469198, 0.007623394999943656]","[2.289675739549111, 0.0018267801166781665, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956892, 0.2055]"
40,2,"[6.457828017138246, 0.01455178508837434, 0.012523620337483094, 0.005520200318991869, 0.15459858400469198, 0.007623394999943656]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
40,3,"[6.457828017138246, 0.01455178508837434, 0.012523620337483094, 0.005520200318991869, 0.15459858400469198, 0.007623394999943656]","[2.5362836551084422, 0.002904890599537026, 0.004980616635739672, 0.0046686769744327065, 0.007636629333902232, 0.2055]"
40,4,"[6.457828017138246, 0.01455178508837434, 0.012523620337483094, 0.005520200318991869, 0.15459858400469198, 0.007623394999943656]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
40,5,"[6.457828017138246, 0.01455178508837434, 0.012523620337483094, 0.005520200318991869, 0.15459858400469198, 0.007623394999943656]","[2.8818906010301464, 0.003983890490143535, 0.006767306234727972, 0.004699744735363736, 0.007629096839143214, 0.2055]"
40,6,"[6.457828017138246, 0.01455178508837434, 0.012523620337483094, 0.005520200318991869, 0.15459858400469198, 0.007623394999943656]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
40,7,"[6.457828017138246, 0.01455178508837434, 0.012523620337483094, 0.005520200318991869, 0.15459858400469198, 0.007623394999943656]","[3.281856154198917, 0.005088853236754112, 0.00843541433664273, 0.00469999892786997, 0.007629000544887016, 0.2055]"
41,1,"[6.4467075045315365, 0.01424083138424893, 0.013664828010759708, 0.005815463941482252, 0.17916268757478973, 0.006779392498214996]","[2.2896757395491107, 0.001826780116678167, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956894, 0.2055]"
41,2,"[6.4467075045315365, 0.01424083138424893, 0.013664828010759708, 0.005815463941482252, 0.17916268757478973, 0.006779392498214996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,3,"[6.4467075045315365, 0.01424083138424893, 0.013664828010759708, 0.005815463941482252, 0.17916268757478973, 0.006779392498214996]","[2.5362836551084404, 0.002904890599537021, 0.004980616635739677, 0.004668676974432707, 0.00763662933390223, 0.2055]"
41,4,"[6.4467075045315365, 0.01424083138424893, 0.013664828010759708, 0.005815463941482252, 0.17916268757478973, 0.006779392498214996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,5,"[6.4467075045315365, 0.01424083138424893, 0.013664828010759708, 0.005815463941482252, 0.17916268757478973, 0.006779392498214996]","[2.881890601030143, 0.003983890490143525, 0.006767306234727978, 0.004699744735363736, 0.007629096839143215, 0.2055]"
41,6,"[6.4467075045315365, 0.01424083138424893, 0.013664828010759708, 0.005815463941482252, 0.17916268757478973, 0.006779392498214996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,7,"[6.4467075045315365, 0.01424083138424893, 0.013664828010759708, 0.005815463941482252, 0.17916268757478973, 0.006779392498214996]","[3.2818561541989215, 0.005088853236754132, 0.00843541433664271, 0.00469999892786997, 0.007629000544887017, 0.2055]"
42,1,"[6.5613847309454325, 0.010872544468732533, 0.011657207447556425, 0.004151560947165081, 0.20174895674478013, 0.006737244674996359]","[2.289675739549111, 0.0018267801166781665, 0.0030925079564779554, 0.0037303600957816307, 0.0077270861069568915, 0.2055]"
42,2,"[6.5613847309454325, 0.010872544468732533, 0.011657207447556425, 0.004151560947165081, 0.20174895674478013, 0.006737244674996359]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
42,3,"[6.5613847309454325, 0.010872544468732533, 0.011657207447556425, 0.004151560947165081, 0.20174895674478013, 0.006737244674996359]","[2.536283655108441, 0.002904890599537023, 0.0049806166357396755, 0.0046686769744327065, 0.007636629333902235, 0.2055]"
42,4,"[6.5613847309454325, 0.010872544468732533, 0.011657207447556425, 0.004151560947165081, 0.20174895674478013, 0.006737244674996359]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
42,5,"[6.5613847309454325, 0.010872544468732533, 0.011657207447556425, 0.004151560947165081, 0.20174895674478013, 0.006737244674996359]","[2.881890601030147, 0.003983890490143536, 0.00676730623472797, 0.004699744735363736, 0.007629096839143214, 0.2055]"
42,6,"[6.5613847309454325, 0.010872544468732533, 0.011657207447556425, 0.004151560947165081, 0.20174895674478013, 0.006737244674996359]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
42,7,"[6.5613847309454325, 0.010872544468732533, 0.011657207447556425, 0.004151560947165081, 0.20174895674478013, 0.006737244674996359]","[3.2818561541989184, 0.005088853236754119, 0.008435414336642714, 0.00469999892786997, 0.007629000544887015, 0.2055]"
43,1,"[6.707123894872446, 0.01497235433111817, 0.009826315796443101, 0.004746840845596318, 0.17549931458357118, 0.006181408593843563]","[2.2896757395491107, 0.001826780116678166, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956897, 0.2055]"
43,2,"[6.707123894872446, 0.01497235433111817, 0.009826315796443101, 0.004746840845596318, 0.17549931458357118, 0.006181408593843563]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
43,3,"[6.707123894872446, 0.01497235433111817, 0.009826315796443101, 0.004746840845596318, 0.17549931458357118, 0.006181408593843563]","[2.5362836551084413, 0.002904890599537024, 0.004980616635739676, 0.004668676974432707, 0.00763662933390223, 0.2055]"
43,4,"[6.707123894872446, 0.01497235433111817, 0.009826315796443101, 0.004746840845596318, 0.17549931458357118, 0.006181408593843563]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
43,5,"[6.707123894872446, 0.01497235433111817, 0.009826315796443101, 0.004746840845596318, 0.17549931458357118, 0.006181408593843563]","[2.8818906010301473, 0.003983890490143536, 0.006767306234727975, 0.004699744735363735, 0.007629096839143222, 0.2055]"
43,6,"[6.707123894872446, 0.01497235433111817, 0.009826315796443101, 0.004746840845596318, 0.17549931458357118, 0.006181408593843563]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
43,7,"[6.707123894872446, 0.01497235433111817, 0.009826315796443101, 0.004746840845596318, 0.17549931458357118, 0.006181408593843563]","[3.2818561541989233, 0.005088853236754132, 0.008435414336642723, 0.00469999892786997, 0.007629000544887017, 0.2055]"
44,1,"[6.820183684725654, 0.0132746589704303, 0.008718291492920045, 0.00459289304129887, 0.23920029464361908, 0.009455337433349515]","[2.289675739549111, 0.0018267801166781668, 0.003092507956477955, 0.0037303600957816303, 0.007727086106956893, 0.2055]"
44,2,"[6.820183684725654, 0.0132746589704303, 0.008718291492920045, 0.00459289304129887, 0.23920029464361908, 0.009455337433349515]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
44,3,"[6.820183684725654, 0.0132746589704303, 0.008718291492920045, 0.00459289304129887, 0.23920029464361908, 0.009455337433349515]","[2.536283655108441, 0.0029048905995370236, 0.004980616635739676, 0.004668676974432707, 0.007636629333902229, 0.2055]"
44,4,"[6.820183684725654, 0.0132746589704303, 0.008718291492920045, 0.00459289304129887, 0.23920029464361908, 0.009455337433349515]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
44,5,"[6.820183684725654, 0.0132746589704303, 0.008718291492920045, 0.00459289304129887, 0.23920029464361908, 0.009455337433349515]","[2.881890601030147, 0.003983890490143533, 0.006767306234727976, 0.004699744735363735, 0.007629096839143222, 0.2055]"
44,6,"[6.820183684725654, 0.0132746589704303, 0.008718291492920045, 0.00459289304129887, 0.23920029464361908, 0.009455337433349515]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
44,7,"[6.820183684725654, 0.0132746589704303, 0.008718291492920045, 0.00459289304129887, 0.23920029464361908, 0.009455337433349515]","[3.281856154198921, 0.005088853236754127, 0.008435414336642723, 0.00469999892786997, 0.007629000544887015, 0.2055]"
45,1,"[6.472905798352431, 0.01502922867968582, 0.00996994643128877, 0.004443030109566144, 0.20410618853068313, 0.007757621604643614]","[2.2896757395491107, 0.0018267801166781661, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956892, 0.2055]"
45,2,"[6.472905798352431, 0.01502922867968582, 0.00996994643128877, 0.004443030109566144, 0.20410618853068313, 0.007757621604643614]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
45,3,"[6.472905798352431, 0.01502922867968582, 0.00996994643128877, 0.004443030109566144, 0.20410618853068313, 0.007757621604643614]","[2.536283655108442, 0.0029048905995370244, 0.004980616635739675, 0.004668676974432707, 0.00763662933390223, 0.2055]"
45,4,"[6.472905798352431, 0.01502922867968582, 0.00996994643128877, 0.004443030109566144, 0.20410618853068313, 0.007757621604643614]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
45,5,"[6.472905798352431, 0.01502922867968582, 0.00996994643128877, 0.004443030109566144, 0.20410618853068313, 0.007757621604643614]","[2.881890601030147, 0.003983890490143533, 0.006767306234727981, 0.004699744735363736, 0.007629096839143213, 0.2055]"
45,6,"[6.472905798352431, 0.01502922867968582, 0.00996994643128877, 0.004443030109566144, 0.20410618853068313, 0.007757621604643614]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
45,7,"[6.472905798352431, 0.01502922867968582, 0.00996994643128877, 0.004443030109566144, 0.20410618853068313, 0.007757621604643614]","[3.2818561541989086, 0.0050888532367540885, 0.008435414336642742, 0.00469999892786997, 0.007629000544887017, 0.2055]"
46,1,"[6.493073864497399, 0.011486607385254075, 0.011697630108822304, 0.004325071370519529, 0.23870287342273921, 0.007314904560659039]","[2.2896757395491107, 0.0018267801166781668, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956892, 0.2055]"
46,2,"[6.493073864497399, 0.011486607385254075, 0.011697630108822304, 0.004325071370519529, 0.23870287342273921, 0.007314904560659039]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
46,3,"[6.493073864497399, 0.011486607385254075, 0.011697630108822304, 0.004325071370519529, 0.23870287342273921, 0.007314904560659039]","[2.5362836551084404, 0.0029048905995370214, 0.004980616635739676, 0.004668676974432707, 0.007636629333902227, 0.2055]"
46,4,"[6.493073864497399, 0.011486607385254075, 0.011697630108822304, 0.004325071370519529, 0.23870287342273921, 0.007314904560659039]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
46,5,"[6.493073864497399, 0.011486607385254075, 0.011697630108822304, 0.004325071370519529, 0.23870287342273921, 0.007314904560659039]","[2.8818906010301473, 0.003983890490143534, 0.006767306234727976, 0.004699744735363736, 0.007629096839143214, 0.2055]"
46,6,"[6.493073864497399, 0.011486607385254075, 0.011697630108822304, 0.004325071370519529, 0.23870287342273921, 0.007314904560659039]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
46,7,"[6.493073864497399, 0.011486607385254075, 0.011697630108822304, 0.004325071370519529, 0.23870287342273921, 0.007314904560659039]","[3.2818561541989073, 0.005088853236754084, 0.008435414336642747, 0.00469999892786997, 0.007629000544887018, 0.2055]"
47,1,"[7.909955124202201, 0.01182303070866525, 0.012895842914868777, 0.005194020748136934, 0.1812355530224135, 0.008851387131021604]","[2.289675739549111, 0.001826780116678167, 0.003092507956477955, 0.0037303600957816307, 0.007727086106956893, 0.2055]"
47,2,"[7.909955124202201, 0.01182303070866525, 0.012895842914868777, 0.005194020748136934, 0.1812355530224135, 0.008851387131021604]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
47,3,"[7.909955124202201, 0.01182303070866525, 0.012895842914868777, 0.005194020748136934, 0.1812355530224135, 0.008851387131021604]","[2.5362836551084413, 0.0029048905995370244, 0.0049806166357396755, 0.0046686769744327065, 0.0076366293339022355, 0.2055]"
47,4,"[7.909955124202201, 0.01182303070866525, 0.012895842914868777, 0.005194020748136934, 0.1812355530224135, 0.008851387131021604]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
47,5,"[7.909955124202201, 0.01182303070866525, 0.012895842914868777, 0.005194020748136934, 0.1812355530224135, 0.008851387131021604]","[2.881890601030146, 0.0039838904901435285, 0.0067673062347279765, 0.004699744735363736, 0.007629096839143214, 0.2055]"
47,6,"[7.909955124202201, 0.01182303070866525, 0.012895842914868777, 0.005194020748136934, 0.1812355530224135, 0.008851387131021604]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
47,7,"[7.909955124202201, 0.01182303070866525, 0.012895842914868777, 0.005194020748136934, 0.1812355530224135, 0.008851387131021604]","[3.2818561541989126, 0.005088853236754098, 0.008435414336642749, 0.00469999892786997, 0.007629000544887017, 0.2055]"
48,1,"[6.493731897185359, 0.011924541405530346, 0.008965289188000443, 0.004792564719168843, 0.21802797924185813, 0.00598218733086229]","[2.289675739549111, 0.0018267801166781663, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956896, 0.2055]"
48,2,"[6.493731897185359, 0.011924541405530346, 0.008965289188000443, 0.004792564719168843, 0.21802797924185813, 0.00598218733086229]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
48,3,"[6.493731897185359, 0.011924541405530346, 0.008965289188000443, 0.004792564719168843, 0.21802797924185813, 0.00598218733086229]","[2.5362836551084413, 0.002904890599537026, 0.004980616635739674, 0.0046686769744327065, 0.007636629333902232, 0.2055]"
48,4,"[6.493731897185359, 0.011924541405530346, 0.008965289188000443, 0.004792564719168843, 0.21802797924185813, 0.00598218733086229]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
48,5,"[6.493731897185359, 0.011924541405530346, 0.008965289188000443, 0.004792564719168843, 0.21802797924185813, 0.00598218733086229]","[2.8818906010301473, 0.003983890490143538, 0.006767306234727974, 0.004699744735363736, 0.007629096839143214, 0.2055]"
48,6,"[6.493731897185359, 0.011924541405530346, 0.008965289188000443, 0.004792564719168843, 0.21802797924185813, 0.00598218733086229]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
48,7,"[6.493731897185359, 0.011924541405530346, 0.008965289188000443, 0.004792564719168843, 0.21802797924185813, 0.00598218733086229]","[3.281856154198922, 0.005088853236754129, 0.008435414336642721, 0.00469999892786997, 0.007629000544887014, 0.2055]"
49,1,"[6.055811350310622, 0.011521712458026172, 0.012147644947198388, 0.005243817219184572, 0.25263205487856744, 0.005832410191244325]","[2.2896757395491107, 0.001826780116678166, 0.003092507956477956, 0.0037303600957816303, 0.007727086106956893, 0.2055]"
49,2,"[6.055811350310622, 0.011521712458026172, 0.012147644947198388, 0.005243817219184572, 0.25263205487856744, 0.005832410191244325]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
49,3,"[6.055811350310622, 0.011521712458026172, 0.012147644947198388, 0.005243817219184572, 0.25263205487856744, 0.005832410191244325]","[2.536283655108441, 0.0029048905995370227, 0.004980616635739677, 0.0046686769744327065, 0.007636629333902232, 0.2055]"
49,4,"[6.055811350310622, 0.011521712458026172, 0.012147644947198388, 0.005243817219184572, 0.25263205487856744, 0.005832410191244325]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
49,5,"[6.055811350310622, 0.011521712458026172, 0.012147644947198388, 0.005243817219184572, 0.25263205487856744, 0.005832410191244325]","[2.8818906010301464, 0.003983890490143535, 0.006767306234727972, 0.004699744735363735, 0.007629096839143222, 0.2055]"
49,6,"[6.055811350310622, 0.011521712458026172, 0.012147644947198388, 0.005243817219184572, 0.25263205487856744, 0.005832410191244325]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
49,7,"[6.055811350310622, 0.011521712458026172, 0.012147644947198388, 0.005243817219184572, 0.25263205487856744, 0.005832410191244325]","[3.281856154198914, 0.005088853236754106, 0.00843541433664273, 0.00469999892786997, 0.007629000544887014, 0.2055]"
50,1,"[7.3761933204433, 0.012458195859774833, 0.012001883428082803, 0.004957239991203208, 0.2136436261814057, 0.007791035328484229]","[2.2896757395491107, 0.0018267801166781663, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956891, 0.2055]"
50,2,"[7.3761933204433, 0.012458195859774833, 0.012001883428082803, 0.004957239991203208, 0.2136436261814057, 0.007791035328484229]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
50,3,"[7.3761933204433, 0.012458195859774833, 0.012001883428082803, 0.004957239991203208, 0.2136436261814057, 0.007791035328484229]","[2.536283655108441, 0.002904890599537024, 0.004980616635739675, 0.0046686769744327065, 0.007636629333902235, 0.2055]"
50,4,"[7.3761933204433, 0.012458195859774833, 0.012001883428082803, 0.004957239991203208, 0.2136436261814057, 0.007791035328484229]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
50,5,"[7.3761933204433, 0.012458195859774833, 0.012001883428082803, 0.004957239991203208, 0.2136436261814057, 0.007791035328484229]","[2.8818906010301446, 0.003983890490143531, 0.006767306234727975, 0.004699744735363736, 0.007629096839143213, 0.2055]"
50,6,"[7.3761933204433, 0.012458195859774833, 0.012001883428082803, 0.004957239991203208, 0.2136436261814057, 0.007791035328484229]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
50,7,"[7.3761933204433, 0.012458195859774833, 0.012001883428082803, 0.004957239991203208, 0.2136436261814057, 0.007791035328484229]","[3.2818561541989144, 0.005088853236754104, 0.008435414336642737, 0.00469999892786997, 0.007629000544887017, 0.2055]"
51,1,"[6.276923481972303, 0.01262621539062141, 0.012209072448316458, 0.0039518182642105555, 0.2553959985284361, 0.007042381678396194]","[2.2896757395491107, 0.0018267801166781661, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956895, 0.2055]"
51,2,"[6.276923481972303, 0.01262621539062141, 0.012209072448316458, 0.0039518182642105555, 0.2553959985284361, 0.007042381678396194]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
51,3,"[6.276923481972303, 0.01262621539062141, 0.012209072448316458, 0.0039518182642105555, 0.2553959985284361, 0.007042381678396194]","[2.5362836551084404, 0.002904890599537024, 0.004980616635739676, 0.0046686769744327065, 0.0076366293339022355, 0.2055]"
51,4,"[6.276923481972303, 0.01262621539062141, 0.012209072448316458, 0.0039518182642105555, 0.2553959985284361, 0.007042381678396194]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
51,5,"[6.276923481972303, 0.01262621539062141, 0.012209072448316458, 0.0039518182642105555, 0.2553959985284361, 0.007042381678396194]","[2.881890601030146, 0.0039838904901435355, 0.006767306234727975, 0.004699744735363735, 0.007629096839143225, 0.2055]"
51,6,"[6.276923481972303, 0.01262621539062141, 0.012209072448316458, 0.0039518182642105555, 0.2553959985284361, 0.007042381678396194]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
51,7,"[6.276923481972303, 0.01262621539062141, 0.012209072448316458, 0.0039518182642105555, 0.2553959985284361, 0.007042381678396194]","[3.281856154198915, 0.005088853236754107, 0.008435414336642738, 0.00469999892786997, 0.007629000544887019, 0.2055]"
52,1,"[5.527471574702952, 0.013748275477462022, 0.0118099062539063, 0.005824093180820111, 0.20496073110104768, 0.008105291297187596]","[2.2896757395491107, 0.0018267801166781661, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956897, 0.2055]"
52,2,"[5.527471574702952, 0.013748275477462022, 0.0118099062539063, 0.005824093180820111, 0.20496073110104768, 0.008105291297187596]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
52,3,"[5.527471574702952, 0.013748275477462022, 0.0118099062539063, 0.005824093180820111, 0.20496073110104768, 0.008105291297187596]","[2.5362836551084413, 0.002904890599537026, 0.004980616635739674, 0.0046686769744327065, 0.007636629333902234, 0.2055]"
52,4,"[5.527471574702952, 0.013748275477462022, 0.0118099062539063, 0.005824093180820111, 0.20496073110104768, 0.008105291297187596]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
52,5,"[5.527471574702952, 0.013748275477462022, 0.0118099062539063, 0.005824093180820111, 0.20496073110104768, 0.008105291297187596]","[2.881890601030147, 0.003983890490143535, 0.006767306234727973, 0.004699744735363736, 0.007629096839143218, 0.2055]"
52,6,"[5.527471574702952, 0.013748275477462022, 0.0118099062539063, 0.005824093180820111, 0.20496073110104768, 0.008105291297187596]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
52,7,"[5.527471574702952, 0.013748275477462022, 0.0118099062539063, 0.005824093180820111, 0.20496073110104768, 0.008105291297187596]","[3.2818561541989215, 0.005088853236754131, 0.008435414336642714, 0.00469999892786997, 0.007629000544887016, 0.2055]"
53,1,"[7.4562363018564906, 0.013532734314246543, 0.0098286286754401, 0.004178210045654152, 0.24145736775039944, 0.008915947942112281]","[2.2896757395491107, 0.0018267801166781657, 0.003092507956477956, 0.0037303600957816307, 0.0077270861069568915, 0.2055]"
53,2,"[7.4562363018564906, 0.013532734314246543, 0.0098286286754401, 0.004178210045654152, 0.24145736775039944, 0.008915947942112281]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
53,3,"[7.4562363018564906, 0.013532734314246543, 0.0098286286754401, 0.004178210045654152, 0.24145736775039944, 0.008915947942112281]","[2.5362836551084404, 0.0029048905995370227, 0.004980616635739675, 0.004668676974432707, 0.007636629333902227, 0.2055]"
53,4,"[7.4562363018564906, 0.013532734314246543, 0.0098286286754401, 0.004178210045654152, 0.24145736775039944, 0.008915947942112281]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
53,5,"[7.4562363018564906, 0.013532734314246543, 0.0098286286754401, 0.004178210045654152, 0.24145736775039944, 0.008915947942112281]","[2.8818906010301455, 0.003983890490143534, 0.006767306234727976, 0.004699744735363736, 0.007629096839143213, 0.2055]"
53,6,"[7.4562363018564906, 0.013532734314246543, 0.0098286286754401, 0.004178210045654152, 0.24145736775039944, 0.008915947942112281]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
53,7,"[7.4562363018564906, 0.013532734314246543, 0.0098286286754401, 0.004178210045654152, 0.24145736775039944, 0.008915947942112281]","[3.2818561541989313, 0.00508885323675416, 0.008435414336642693, 0.00469999892786997, 0.007629000544887016, 0.2055]"
